1 1|A a:38 b:1 c:90 d:0 e:38 f:10 g:52 h:51 i:0
1 1|A a:49 b:0 c:81 d:0 e:50 f:14 g:33 h:32 i:0
5 5|A a:75 b:1 c:79 d:0 e:-42 f:0 g:4 h:123 i:118
1 1|A a:41 b:-2 c:81 d:0 e:42 f:15 g:40 h:39 i:0
1 1|A a:39 b:4 c:83 d:3 e:38 f:0 g:44 h:44 i:0
1 1|A a:45 b:0 c:87 d:0 e:44 f:-9 g:42 h:43 i:2
1 1|A a:45 b:1 c:89 d:0 e:44 f:0 g:44 h:45 i:0
1 1|A a:45 b:0 c:83 d:0 e:44 f:0 g:38 h:39 i:2
1 1|A a:37 b:0 c:80 d:0 e:30 f:8 g:43 h:49 i:6
1 1|A a:37 b:0 c:105 d:8 e:34 f:14 g:68 h:71 i:4
1 1|A a:37 b:0 c:77 d:-5 e:36 f:-21 g:39 h:41 i:2
1 1|A a:39 b:-3 c:91 d:0 e:2 f:-16 g:51 h:88 i:36
1 1|A a:54 b:5 c:83 d:0 e:54 f:0 g:29 h:28 i:0
1 1|A a:37 b:0 c:108 d:-1 e:36 f:0 g:71 h:72 i:0
1 1|A a:37 b:0 c:79 d:0 e:8 f:-22 g:42 h:71 i:28
4 4|A a:56 b:0 c:81 d:0 e:2 f:20 g:25 h:78 i:54
1 1|A a:53 b:2 c:88 d:0 e:52 f:-16 g:35 h:37 i:2
1 1|A a:37 b:-1 c:81 d:6 e:-2 f:0 g:44 h:83 i:40
1 1|A a:52 b:0 c:84 d:0 e:52 f:-10 g:31 h:32 i:0
1 1|A a:37 b:0 c:77 d:0 e:18 f:-4 g:41 h:59 i:18
4 4|A a:55 b:0 c:76 d:-2 e:-12 f:-18 g:21 h:89 i:68
1 1|A a:42 b:-2 c:75 d:0 e:42 f:0 g:32 h:34 i:2
1 1|A a:43 b:0 c:83 d:-7 e:44 f:25 g:40 h:39 i:0
1 1|A a:43 b:0 c:86 d:0 e:44 f:26 g:43 h:42 i:0
1 1|A a:56 b:1 c:82 d:0 e:56 f:9 g:26 h:25 i:0
1 1|A a:59 b:0 c:86 d:0 e:60 f:18 g:28 h:27 i:0
1 1|A a:43 b:0 c:82 d:-3 e:42 f:-1 g:39 h:41 i:2
4 4|A a:55 b:0 c:78 d:-3 e:8 f:-8 g:23 h:70 i:48
1 1|A a:50 b:0 c:82 d:1 e:50 f:0 g:32 h:33 i:0
1 1|A a:37 b:-2 c:81 d:0 e:36 f:0 g:44 h:45 i:0
4 4|A a:55 b:0 c:78 d:-2 e:12 f:0 g:23 h:65 i:42
4 4|A a:55 b:0 c:93 d:0 e:0 f:-19 g:38 h:93 i:56
1 1|A a:44 b:-249 c:82 d:-1 e:44 f:-2 g:38 h:38 i:0
1 1|A a:50 b:0 c:83 d:0 e:50 f:-1 g:33 h:33 i:0
1 1|A a:45 b:1 c:76 d:5 e:44 f:0 g:32 h:32 i:0
5 5|A a:82 b:0 c:86 d:0 e:-12 f:-26 g:3 h:99 i:96
1 1|A a:49 b:0 c:95 d:0 e:50 f:16 g:47 h:46 i:0
1 1|A a:37 b:0 c:80 d:7 e:-2 f:0 g:43 h:83 i:40
1 1|A a:37 b:0 c:92 d:0 e:16 f:0 g:54 h:76 i:22
1 1|A a:37 b:0 c:78 d:0 e:12 f:-22 g:42 h:65 i:24
1 1|A a:48 b:-1 c:83 d:-2 e:46 f:-4 g:35 h:37 i:2
4 4|A a:55 b:-3 c:98 d:0 e:44 f:0 g:42 h:54 i:12
1 1|A a:46 b:3 c:86 d:-2 e:46 f:6 g:41 h:40 i:0
1 1|A a:38 b:0 c:77 d:7 e:38 f:0 g:39 h:39 i:0
4 4|A a:55 b:-4 c:77 d:0 e:-24 f:0 g:21 h:103 i:82
1 1|A a:37 b:0 c:104 d:0 e:20 f:-14 g:67 h:84 i:16
1 1|A a:46 b:3 c:86 d:0 e:46 f:14 g:40 h:39 i:0
4 4|A a:56 b:0 c:95 d:-7 e:42 f:0 g:40 h:54 i:14
1 1|A a:39 b:4 c:80 d:-6 e:38 f:0 g:41 h:41 i:0
1 1|A a:37 b:0 c:77 d:0 e:24 f:1 g:40 h:54 i:14
1 1|A a:37 b:0 c:104 d:0 e:18 f:-12 g:67 h:86 i:20
1 1|A a:45 b:0 c:82 d:4 e:44 f:-17 g:37 h:38 i:2
1 1|A a:45 b:0 c:77 d:-1 e:44 f:0 g:31 h:33 i:2
1 1|A a:50 b:-1 c:85 d:0 e:50 f:0 g:36 h:36 i:0
1 1|A a:49 b:1 c:86 d:0 e:50 f:3 g:37 h:37 i:0
1 1|A a:46 b:0 c:87 d:0 e:44 f:-18 g:41 h:43 i:2
1 1|A a:43 b:-4 c:89 d:0 e:42 f:0 g:46 h:48 i:2
1 1|A a:37 b:0 c:104 d:0 e:28 f:5 g:67 h:76 i:8
1 1|A a:41 b:0 c:86 d:-1 e:38 f:-7 g:45 h:47 i:2
1 1|A a:45 b:-3 c:86 d:0 e:46 f:13 g:40 h:39 i:0
1 1|A a:45 b:0 c:82 d:-2 e:44 f:-3 g:37 h:38 i:0
1 1|A a:53 b:0 c:86 d:0 e:54 f:15 g:32 h:32 i:0
1 1|A a:58 b:0 c:81 d:4 e:56 f:0 g:23 h:24 i:0
1 1|A a:45 b:0 c:87 d:0 e:46 f:18 g:42 h:41 i:0
4 4|A a:55 b:0 c:95 d:0 e:50 f:-14 g:40 h:46 i:6
1 1|A a:41 b:1 c:77 d:0 e:42 f:14 g:36 h:36 i:0
1 1|A a:47 b:-1 c:78 d:2 e:46 f:0 g:31 h:32 i:0
4 4|A a:55 b:0 c:76 d:0 e:-12 f:6 g:21 h:89 i:68
1 1|A a:38 b:0 c:94 d:0 e:36 f:18 g:56 h:58 i:2
1 1|A a:60 b:0 c:109 d:0 e:60 f:0 g:49 h:50 i:0
1 1|A a:38 b:3 c:106 d:0 e:38 f:1 g:68 h:67 i:0
1 1|A a:51 b:1 c:85 d:0 e:50 f:0 g:34 h:36 i:2
4 4|A a:56 b:0 c:81 d:0 e:0 f:6 g:25 h:81 i:56
1 1|A a:38 b:1 c:77 d:0 e:38 f:17 g:40 h:39 i:0
1 1|A a:37 b:0 c:79 d:0 e:16 f:27 g:42 h:63 i:22
1 1|A a:53 b:0 c:81 d:0 e:54 f:12 g:28 h:27 i:0
1 1|A a:37 b:0 c:76 d:1 e:28 f:-3 g:39 h:48 i:8
1 1|A a:41 b:4 c:76 d:0 e:42 f:11 g:35 h:35 i:0
1 1|A a:38 b:-2 c:100 d:0 e:38 f:0 g:63 h:62 i:0
4 4|A a:56 b:-4 c:97 d:0 e:52 f:0 g:41 h:45 i:4
1 1|A a:41 b:0 c:80 d:0 e:42 f:9 g:39 h:39 i:0
1 1|A a:45 b:0 c:76 d:-1 e:44 f:0 g:32 h:32 i:0
1 1|A a:53 b:0 c:91 d:0 e:52 f:-15 g:38 h:39 i:2
1 1|A a:56 b:0 c:92 d:0 e:56 f:4 g:36 h:35 i:0
1 1|A a:37 b:0 c:97 d:3 e:34 f:0 g:60 h:64 i:4
4 4|A a:55 b:0 c:77 d:0 e:-14 f:-27 g:21 h:92 i:70
1 1|A a:47 b:0 c:75 d:-3 e:46 f:0 g:27 h:28 i:0
1 1|A a:46 b:0 c:76 d:-5 e:46 f:0 g:30 h:29 i:0
1 1|A a:45 b:0 c:80 d:6 e:44 f:0 g:35 h:36 i:2
1 1|A a:53 b:-1 c:78 d:0 e:52 f:-10 g:25 h:26 i:2
1 1|A a:37 b:-3 c:79 d:0 e:34 f:14 g:42 h:45 i:4
1 1|A a:43 b:-1 c:79 d:-3 e:42 f:-38 g:36 h:38 i:2
1 1|A a:37 b:0 c:90 d:0 e:20 f:1 g:53 h:70 i:16
1 1|A a:37 b:0 c:79 d:0 e:8 f:-18 g:43 h:72 i:28
5 5|A a:83 b:0 c:86 d:0 e:-2 f:0 g:4 h:89 i:86
1 1|A a:51 b:0 c:77 d:0 e:52 f:21 g:26 h:25 i:0
1 1|A a:47 b:0 c:76 d:0 e:46 f:0 g:29 h:29 i:0
1 1|A a:37 b:-1 c:90 d:0 e:6 f:0 g:53 h:85 i:32
1 1|A a:40 b:-1 c:80 d:1 e:38 f:0 g:40 h:41 i:2
5 5|A a:81 b:0 c:86 d:4 e:-24 f:-8 g:4 h:112 i:108
1 1|A a:45 b:1 c:77 d:0 e:46 f:31 g:31 h:30 i:0
1 1|A a:37 b:0 c:74 d:0 e:26 f:-22 g:38 h:48 i:10
1 1|A a:40 b:1 c:81 d:-6 e:38 f:0 g:40 h:42 i:2
1 1|A a:37 b:0 c:97 d:0 e:36 f:5 g:59 h:60 i:2
1 1|A a:51 b:0 c:77 d:0 e:52 f:4 g:26 h:26 i:0
1 1|A a:41 b:0 c:83 d:1 e:42 f:15 g:42 h:41 i:0
1 1|A a:41 b:0 c:81 d:1 e:42 f:2 g:39 h:39 i:0
1 1|A a:53 b:0 c:104 d:0 e:54 f:0 g:51 h:49 i:0
1 1|A a:43 b:0 c:88 d:0 e:42 f:-6 g:44 h:46 i:2
1 1|A a:37 b:0 c:77 d:0 e:28 f:5 g:41 h:49 i:8
1 1|A a:37 b:0 c:75 d:-2 e:26 f:-12 g:38 h:49 i:12
1 1|A a:37 b:3 c:79 d:0 e:34 f:-1 g:42 h:46 i:4
1 1|A a:48 b:0 c:81 d:-5 e:46 f:0 g:32 h:34 i:2
1 1|A a:52 b:-2 c:109 d:0 e:52 f:0 g:57 h:57 i:0
1 1|A a:56 b:0 c:96 d:-4 e:54 f:18 g:40 h:42 i:2
1 1|A a:37 b:0 c:83 d:0 e:16 f:13 g:46 h:67 i:22
1 1|A a:40 b:5 c:90 d:0 e:38 f:0 g:49 h:51 i:2
1 1|A a:46 b:-1 c:85 d:-3 e:46 f:-5 g:39 h:39 i:0
4 4|A a:56 b:0 c:77 d:5 e:0 f:0 g:22 h:77 i:56
1 1|A a:58 b:1 c:84 d:0 e:56 f:0 g:26 h:27 i:0
1 1|A a:46 b:0 c:75 d:-2 e:46 f:-3 g:29 h:28 i:0
1 1|A a:41 b:3 c:78 d:0 e:42 f:8 g:37 h:37 i:0
1 1|A a:45 b:0 c:84 d:4 e:44 f:-9 g:39 h:41 i:2
1 1|A a:39 b:1 c:79 d:-2 e:38 f:-3 g:41 h:41 i:0
1 1|A a:37 b:0 c:78 d:0 e:16 f:24 g:41 h:63 i:22
4 4|A a:56 b:0 c:97 d:0 e:50 f:17 g:40 h:48 i:8
1 1|A a:37 b:0 c:77 d:2 e:36 f:4 g:40 h:41 i:0
1 1|A a:43 b:0 c:83 d:-1 e:44 f:22 g:40 h:39 i:0
1 1|A a:45 b:1 c:86 d:4 e:44 f:0 g:41 h:42 i:2
4 4|A a:55 b:0 c:96 d:0 e:44 f:-4 g:41 h:52 i:12
1 1|A a:41 b:0 c:89 d:0 e:38 f:-30 g:48 h:50 i:2
1 1|A a:49 b:0 c:81 d:0 e:50 f:9 g:33 h:32 i:0
1 1|A a:41 b:-2 c:76 d:0 e:42 f:10 g:35 h:35 i:0
1 1|A a:46 b:0 c:88 d:6 e:44 f:-26 g:42 h:44 i:2
1 1|A a:47 b:0 c:88 d:5 e:46 f:0 g:40 h:41 i:0
1 1|A a:41 b:1 c:83 d:0 e:38 f:0 g:42 h:44 i:2
1 1|A a:50 b:-1 c:81 d:-5 e:50 f:-7 g:32 h:32 i:0
1 1|A a:38 b:0 c:77 d:0 e:38 f:5 g:40 h:39 i:0
4 4|A a:55 b:0 c:93 d:0 e:6 f:-28 g:37 h:88 i:50
1 1|A a:42 b:2 c:76 d:-1 e:42 f:0 g:35 h:35 i:0
1 1|A a:37 b:0 c:83 d:0 e:8 f:-12 g:46 h:75 i:28
1 1|A a:44 b:0 c:81 d:0 e:44 f:18 g:38 h:37 i:0
4 4|A a:56 b:2 c:97 d:-3 e:44 f:12 g:40 h:53 i:12
1 1|A a:37 b:1 c:80 d:0 e:6 f:0 g:43 h:75 i:32
1 1|A a:41 b:0 c:89 d:0 e:42 f:20 g:48 h:48 i:0
4 4|A a:56 b:2 c:97 d:0 e:44 f:0 g:41 h:53 i:12
1 1|A a:57 b:0 c:90 d:0 e:56 f:0 g:33 h:33 i:0
1 1|A a:52 b:-1 c:88 d:0 e:52 f:0 g:36 h:36 i:0
4 4|A a:56 b:1 c:81 d:0 e:-20 f:22 g:25 h:102 i:76
1 1|A a:37 b:0 c:78 d:0 e:12 f:0 g:41 h:65 i:24
5 5|A a:83 b:0 c:86 d:0 e:-6 f:0 g:4 h:94 i:90
1 1|A a:37 b:0 c:90 d:0 e:20 f:-20 g:52 h:69 i:16
3 3|A a:72 b:-38 c:107 d:0 e:62 f:5 g:35 h:45 i:10
1 1|A a:37 b:3 c:77 d:0 e:0 f:13 g:40 h:77 i:38
1 1|A a:45 b:0 c:78 d:0 e:44 f:-7 g:33 h:34 i:2
1 1|A a:59 b:0 c:86 d:0 e:56 f:-21 g:28 h:30 i:2
1 1|A a:56 b:0 c:84 d:0 e:54 f:-28 g:28 h:30 i:2
1 1|A a:37 b:3 c:79 d:0 e:24 f:0 g:41 h:55 i:14
1 1|A a:53 b:0 c:102 d:0 e:54 f:3 g:49 h:48 i:0
1 1|A a:37 b:0 c:76 d:6 e:30 f:5 g:39 h:45 i:6
4 4|A a:55 b:0 c:97 d:-1 e:50 f:-3 g:41 h:48 i:6
1 1|A a:43 b:0 c:84 d:5 e:42 f:-9 g:41 h:43 i:2
4 4|A a:56 b:5 c:79 d:0 e:6 f:0 g:23 h:74 i:50
5 5|A a:108 b:3 c:109 d:2 e:72 f:4 g:1 h:36 i:36
1 1|A a:46 b:0 c:79 d:0 e:46 f:23 g:33 h:32 i:0
1 1|A a:56 b:0 c:78 d:0 e:54 f:-1 g:22 h:24 i:2
1 1|A a:37 b:-3 c:76 d:0 e:38 f:11 g:38 h:37 i:0
1 1|A a:49 b:0 c:87 d:0 e:46 f:-2 g:38 h:41 i:2
1 1|A a:45 b:0 c:81 d:-4 e:44 f:-13 g:36 h:37 i:2
1 1|A a:52 b:0 c:86 d:-4 e:52 f:0 g:33 h:34 i:0
1 1|A a:38 b:0 c:81 d:0 e:38 f:7 g:43 h:43 i:0
4 4|A a:55 b:0 c:77 d:0 e:38 f:-4 g:22 h:39 i:16
4 4|A a:55 b:0 c:77 d:0 e:-22 f:5 g:21 h:100 i:78
1 1|A a:37 b:0 c:80 d:0 e:10 f:-4 g:43 h:70 i:26
1 1|A a:42 b:0 c:79 d:-1 e:42 f:0 g:38 h:38 i:0
1 1|A a:50 b:-4 c:101 d:-6 e:50 f:0 g:51 h:52 i:0
1 1|A a:37 b:4 c:79 d:0 e:20 f:31 g:41 h:58 i:16
1 1|A a:37 b:0 c:83 d:0 e:36 f:6 g:46 h:46 i:0
1 1|A a:49 b:-4 c:88 d:0 e:50 f:7 g:39 h:39 i:0
1 1|A a:44 b:0 c:79 d:-6 e:44 f:6 g:35 h:35 i:0
4 4|A a:56 b:0 c:77 d:0 e:0 f:3 g:21 h:77 i:56
1 1|A a:46 b:0 c:86 d:0 e:46 f:5 g:40 h:39 i:0
1 1|A a:40 b:0 c:86 d:0 e:42 f:31 g:46 h:45 i:0
1 1|A a:40 b:0 c:89 d:-1 e:38 f:-5 g:49 h:50 i:2
1 1|A a:37 b:0 c:83 d:0 e:30 f:8 g:46 h:52 i:6
1 1|A a:58 b:4 c:88 d:0 e:56 f:0 g:30 h:31 i:2
1 1|A a:52 b:3 c:85 d:-1 e:52 f:0 g:33 h:33 i:0
1 1|A a:40 b:1 c:83 d:0 e:38 f:0 g:43 h:44 i:2
1 1|A a:41 b:0 c:77 d:0 e:38 f:-20 g:37 h:39 i:2
4 4|A a:55 b:-4 c:81 d:0 e:-10 f:-19 g:25 h:91 i:66
4 4|A a:55 b:0 c:76 d:-1 e:-22 f:-11 g:21 h:99 i:78
1 1|A a:38 b:0 c:76 d:-2 e:38 f:0 g:38 h:37 i:0
1 1|A a:37 b:0 c:91 d:0 e:18 f:1 g:53 h:73 i:20
1 1|A a:37 b:-2 c:106 d:0 e:34 f:3 g:69 h:72 i:4
4 4|A a:56 b:2 c:97 d:0 e:44 f:6 g:41 h:53 i:12
1 1|A a:37 b:0 c:81 d:0 e:26 f:-3 g:45 h:55 i:10
1 1|A a:44 b:1 c:76 d:0 e:42 f:-19 g:32 h:34 i:2
1 1|A a:44 b:-41 c:82 d:0 e:44 f:0 g:38 h:38 i:0
1 1|A a:40 b:3 c:90 d:0 e:38 f:0 g:49 h:51 i:2
1 1|A a:39 b:1 c:93 d:-2 e:38 f:0 g:54 h:55 i:0
1 1|A a:53 b:0 c:84 d:0 e:54 f:5 g:32 h:30 i:0
1 1|A a:51 b:0 c:84 d:0 e:52 f:3 g:33 h:32 i:0
1 1|A a:45 b:0 c:85 d:0 e:44 f:547 g:41 h:41 i:0
5 5|A a:81 b:0 c:86 d:3 e:-42 f:-28 g:5 h:130 i:124
4 4|A a:56 b:0 c:77 d:-5 e:10 f:0 g:22 h:67 i:46
1 1|A a:45 b:0 c:86 d:-1 e:44 f:5 g:40 h:42 i:2
1 1|A a:37 b:0 c:78 d:5 e:18 f:19 g:42 h:60 i:18
1 1|A a:46 b:-1 c:100 d:0 e:46 f:0 g:54 h:53 i:0
1 1|A a:43 b:0 c:88 d:3 e:42 f:0 g:45 h:47 i:2
1 1|A a:42 b:0 c:76 d:-1 e:42 f:0 g:34 h:34 i:0
1 1|A a:42 b:2 c:106 d:0 e:42 f:0 g:65 h:65 i:0
4 4|A a:55 b:0 c:79 d:0 e:26 f:15 g:23 h:53 i:30
1 1|A a:49 b:0 c:88 d:-2 e:50 f:8 g:40 h:39 i:0
1 1|A a:37 b:0 c:99 d:0 e:30 f:19 g:61 h:68 i:6
4 4|A a:56 b:0 c:96 d:1 e:44 f:11 g:40 h:52 i:12
1 1|A a:37 b:1 c:75 d:0 e:18 f:-16 g:38 h:57 i:18
1 1|A a:43 b:2 c:88 d:-2 e:42 f:0 g:45 h:47 i:2
1 1|A a:45 b:0 c:88 d:0 e:44 f:-17 g:42 h:44 i:2
4 4|A a:55 b:0 c:76 d:0 e:-18 f:-18 g:21 h:94 i:74
1 1|A a:37 b:0 c:92 d:0 e:24 f:14 g:55 h:69 i:14
1 1|A a:43 b:0 c:77 d:5 e:44 f:22 g:34 h:34 i:0
1 1|A a:37 b:0 c:84 d:0 e:26 f:2 g:47 h:58 i:12
1 1|A a:41 b:0 c:81 d:0 e:42 f:19 g:41 h:40 i:0
4 4|A a:56 b:0 c:95 d:0 e:46 f:17 g:40 h:49 i:10
1 1|A a:51 b:0 c:78 d:-7 e:50 f:0 g:27 h:29 i:2
1 1|A a:45 b:0 c:75 d:0 e:44 f:0 g:30 h:31 i:0
1 1|A a:53 b:0 c:81 d:6 e:52 f:-12 g:28 h:30 i:2
1 1|A a:43 b:2 c:79 d:0 e:42 f:0 g:36 h:37 i:2
1 1|A a:37 b:2 c:83 d:5 e:34 f:0 g:45 h:49 i:4
5 5|A a:84 b:1 c:88 d:0 e:6 f:0 g:5 h:83 i:78
1 1|A a:46 b:0 c:85 d:2 e:46 f:3 g:39 h:39 i:0
1 1|A a:41 b:4 c:79 d:0 e:42 f:19 g:38 h:38 i:0
1 1|A a:56 b:0 c:95 d:-6 e:54 f:0 g:39 h:41 i:2
1 1|A a:48 b:0 c:86 d:0 e:46 f:-1 g:39 h:40 i:2
1 1|A a:41 b:-1 c:86 d:0 e:38 f:-22 g:46 h:48 i:2
1 1|A a:37 b:0 c:104 d:0 e:16 f:-7 g:67 h:88 i:22
1 1|A a:41 b:0 c:81 d:1 e:42 f:6 g:39 h:39 i:0
1 1|A a:45 b:1 c:82 d:0 e:44 f:0 g:37 h:38 i:0
1 1|A a:37 b:1 c:97 d:0 e:34 f:0 g:60 h:64 i:4
1 1|A a:37 b:0 c:97 d:0 e:26 f:1 g:60 h:71 i:12
1 1|A a:44 b:2 c:79 d:0 e:42 f:-26 g:36 h:38 i:2
1 1|A a:41 b:1 c:84 d:0 e:42 f:11 g:43 h:43 i:0
1 1|A a:37 b:0 c:77 d:0 e:16 f:-27 g:41 h:62 i:22
1 1|A a:51 b:0 c:86 d:-3 e:50 f:-2 g:36 h:37 i:2
1 1|A a:44 b:2 c:78 d:0 e:42 f:-22 g:34 h:37 i:2
1 1|A a:45 b:4 c:81 d:3 e:44 f:0 g:37 h:37 i:0
4 4|A a:55 b:0 c:79 d:-1 e:24 f:-2 g:23 h:55 i:32
1 1|A a:48 b:0 c:77 d:-5 e:46 f:0 g:29 h:31 i:2
5 5|A a:81 b:0 c:84 d:0 e:-14 f:0 g:4 h:100 i:96
1 1|A a:37 b:0 c:106 d:0 e:34 f:-12 g:68 h:72 i:4
1 1|A a:38 b:0 c:80 d:0 e:36 f:-17 g:42 h:44 i:2
1 1|A a:45 b:0 c:76 d:0 e:46 f:6 g:30 h:29 i:0
1 1|A a:41 b:0 c:88 d:4 e:38 f:-7 g:47 h:49 i:2
1 1|A a:37 b:-1 c:81 d:-5 e:36 f:-9 g:44 h:44 i:0
4 4|A a:56 b:3 c:97 d:0 e:46 f:17 g:41 h:51 i:10
1 1|A a:37 b:0 c:79 d:0 e:10 f:21 g:43 h:69 i:26
4 4|A a:56 b:0 c:79 d:8 e:0 f:3 g:24 h:79 i:56
1 1|A a:37 b:0 c:78 d:0 e:12 f:-11 g:41 h:65 i:24
1 1|A a:39 b:-2 c:76 d:1 e:38 f:0 g:36 h:37 i:0
4 4|A a:55 b:0 c:81 d:-2 e:-14 f:-4 g:26 h:97 i:70
1 1|A a:51 b:1 c:86 d:0 e:52 f:4 g:35 h:34 i:0
1 1|A a:37 b:1 c:79 d:-3 e:36 f:-5 g:42 h:43 i:2
1 1|A a:48 b:4 c:79 d:1 e:46 f:0 g:31 h:32 i:2
1 1|A a:48 b:0 c:88 d:-1 e:46 f:-1 g:40 h:42 i:2
1 1|A a:45 b:2 c:86 d:0 e:44 f:-2 g:40 h:42 i:2
1 1|A a:38 b:0 c:79 d:-2 e:38 f:0 g:41 h:40 i:0
1 1|A a:55 b:0 c:88 d:0 e:54 f:0 g:34 h:34 i:0
1 1|A a:46 b:0 c:79 d:0 e:46 f:9 g:33 h:32 i:0
1 1|A a:37 b:0 c:103 d:0 e:18 f:0 g:66 h:85 i:18
4 4|A a:55 b:0 c:80 d:0 e:-4 f:0 g:25 h:85 i:60
1 1|A a:37 b:0 c:79 d:1 e:34 f:5 g:42 h:46 i:4
1 1|A a:37 b:0 c:77 d:0 e:36 f:24 g:40 h:41 i:0
1 1|A a:43 b:0 c:88 d:-3 e:42 f:-7 g:45 h:47 i:2
4 4|A a:55 b:0 c:96 d:0 e:52 f:-3 g:41 h:44 i:4
1 1|A a:38 b:0 c:80 d:0 e:38 f:12 g:42 h:41 i:0
1 1|A a:48 b:2 c:94 d:0 e:46 f:0 g:46 h:48 i:2
1 1|A a:38 b:1 c:76 d:0 e:38 f:22 g:38 h:37 i:0
1 1|A a:37 b:0 c:77 d:0 e:38 f:26 g:39 h:38 i:0
4 4|A a:53 b:4 c:79 d:0 e:42 f:0 g:25 h:37 i:12
4 4|A a:55 b:0 c:97 d:0 e:50 f:-14 g:41 h:48 i:6
1 1|A a:37 b:0 c:77 d:-3 e:30 f:18 g:40 h:46 i:6
4 4|A a:55 b:-5 c:81 d:0 e:-10 f:-8 g:26 h:92 i:66
5 5|A a:76 b:0 c:80 d:-2 e:-40 f:24 g:4 h:121 i:116
1 1|A a:37 b:0 c:78 d:0 e:-4 f:-25 g:42 h:83 i:42
1 1|A a:46 b:2 c:83 d:0 e:46 f:3 g:37 h:36 i:0
4 4|A a:55 b:0 c:77 d:0 e:10 f:-1 g:22 h:67 i:46
1 1|A a:43 b:0 c:80 d:0 e:44 f:22 g:37 h:36 i:0
1 1|A a:41 b:1 c:85 d:3 e:42 f:6 g:44 h:44 i:0
1 1|A a:55 b:0 c:89 d:0 e:54 f:0 g:34 h:35 i:2
1 1|A a:37 b:0 c:76 d:0 e:24 f:21 g:39 h:53 i:14
1 1|A a:37 b:0 c:106 d:3 e:26 f:11 g:69 h:80 i:12
1 1|A a:53 b:0 c:86 d:-1 e:54 f:2 g:33 h:32 i:0
1 1|A a:41 b:4 c:86 d:0 e:42 f:10 g:45 h:45 i:0
1 1|A a:37 b:0 c:76 d:0 e:28 f:31 g:39 h:47 i:8
1 1|A a:57 b:0 c:85 d:5 e:56 f:0 g:28 h:28 i:0
1 1|A a:47 b:0 c:107 d:0 e:46 f:0 g:60 h:60 i:0
5 5|A a:82 b:0 c:85 d:-4 e:-10 f:0 g:3 h:95 i:92
4 4|A a:56 b:0 c:79 d:5 e:0 f:0 g:23 h:79 i:56
4 4|A a:55 b:0 c:98 d:1 e:52 f:-12 g:42 h:46 i:4
1 1|A a:37 b:0 c:81 d:0 e:30 f:1 g:45 h:50 i:6
4 4|A a:55 b:0 c:77 d:0 e:26 f:20 g:21 h:51 i:30
1 1|A a:47 b:2 c:88 d:6 e:46 f:0 g:41 h:41 i:0
1 1|A a:46 b:0 c:83 d:0 e:46 f:16 g:37 h:37 i:0
1 1|A a:37 b:0 c:76 d:0 e:20 f:-14 g:40 h:55 i:16
4 4|A a:55 b:0 c:77 d:1 e:0 f:0 g:22 h:77 i:56
1 1|A a:43 b:0 c:76 d:0 e:44 f:29 g:32 h:32 i:0
1 1|A a:37 b:0 c:76 d:0 e:30 f:-16 g:40 h:45 i:6
1 1|A a:45 b:-1 c:90 d:0 e:46 f:18 g:45 h:44 i:0
1 1|A a:51 b:1 c:88 d:0 e:50 f:0 g:37 h:39 i:2
1 1|A a:49 b:2 c:86 d:0 e:46 f:-20 g:38 h:40 i:2
1 1|A a:43 b:0 c:76 d:0 e:44 f:8 g:33 h:32 i:0
1 1|A a:37 b:0 c:78 d:0 e:2 f:13 g:41 h:75 i:34
4 4|A a:56 b:0 c:96 d:1 e:44 f:0 g:40 h:52 i:12
1 1|A a:46 b:0 c:93 d:1 e:46 f:1 g:47 h:46 i:0
1 1|A a:51 b:-2 c:78 d:0 e:50 f:-12 g:27 h:29 i:2
1 1|A a:64 b:2 c:113 d:0 e:64 f:16 g:48 h:48 i:0
1 1|A a:50 b:-2 c:107 d:0 e:50 f:0 g:56 h:58 i:2
1 1|A a:37 b:0 c:75 d:0 e:28 f:-16 g:38 h:46 i:8
4 4|A a:56 b:0 c:79 d:0 e:6 f:-1 g:23 h:74 i:50
1 1|A a:38 b:0 c:97 d:8 e:38 f:2 g:59 h:58 i:0
4 4|A a:56 b:0 c:97 d:0 e:46 f:-4 g:40 h:50 i:10
1 1|A a:37 b:0 c:77 d:8 e:36 f:11 g:40 h:41 i:0
1 1|A a:49 b:0 c:89 d:0 e:50 f:24 g:40 h:40 i:0
1 1|A a:37 b:0 c:106 d:0 e:30 f:11 g:69 h:75 i:6
1 1|A a:44 b:0 c:90 d:0 e:44 f:0 g:45 h:46 i:0
1 1|A a:45 b:-2 c:86 d:0 e:44 f:-16 g:41 h:42 i:2
4 4|A a:56 b:0 c:80 d:0 e:6 f:2 g:24 h:75 i:50
1 1|A a:48 b:4 c:83 d:0 e:46 f:0 g:35 h:37 i:2
4 4|A a:55 b:0 c:76 d:0 e:-14 f:16 g:21 h:92 i:70
5 5|A a:85 b:1 c:88 d:0 e:0 f:29 g:3 h:88 i:84
1 1|A a:46 b:1 c:81 d:0 e:46 f:5 g:35 h:35 i:0
1 1|A a:37 b:1 c:77 d:0 e:34 f:0 g:41 h:44 i:2
1 1|A a:44 b:5 c:76 d:-2 e:44 f:3 g:32 h:32 i:0
4 4|A a:55 b:0 c:93 d:0 e:50 f:0 g:38 h:44 i:6
1 1|A a:45 b:-6 c:77 d:0 e:44 f:0 g:32 h:34 i:2
